Entity Name,Abbreviation
25K INVESTMENT PTE. LTD.,25KINV
5TH CROSS PTE. LTD.,5THCROSS
A & G EQUIPMENT PTE. LTD.,A&G
ACODESYS PTE. LTD.,ACODESYS
AETHER TOURS PTE. LTD.,AETHER
AMP DEVELOPMENT PTE. LTD.,AMPD
AMP SYSTEMS PTE. LTD.,AMPS
ANCHOR LIGHT INVESTMENT PTE. LTD.,ALI
ARE CENTRE LIMITED,ARC
ASCENDENTE PTE. LTD.,ASCENDETE
ASCENT INTERNATIONAL ALLIANCE PTE. LTD.,ASCENTINT
ASCENT SKY PTE. LTD.,ASCENTSKY
ASIA RESEARCH AND ENGAGEMENT PTE. LTD.,ARE
AUTEC SOLUTIONS CORPORATION PTE. LTD.,AUTECCORP
AUTEC SOLUTIONS PTE. LTD.,AUTECSOLS
AZORES CAPITAL PTE. LTD.,AZORES
BETTERDATA PTE. LTD.,BETTERDATA
BLU GAMES PTE. LTD.,BLUGAMES
BOYU CAPITAL FUND V, PTE. LTD.,BCFV
BOYU CAPITAL GROWTH FUND I, PTE. LTD.,BCGFI
BROAD HUQIU INVESTMENT PTE. LTD.,BHI
BROAD JINSHAN INVESTMENT PTE. LTD.,BJI
BROAD PUTUO II INVESTMENT PTE. LTD.,BPIII
BROAD PUTUO INVESTMENT PTE. LTD.,BPI
BROAD QIANTANG INVESTMENT PTE. LTD.,BQI
BROAD SHESHAN INVESTMENT PTE. LTD.,BSI
BROAD TAIHANG INVESTMENT PTE. LTD.,BTI
BROAD XIANGSHAN INVESTMENT PTE. LTD.,BXI
BROAD YANQING INVESTMENT PTE. LTD.,BYI
BUTTER BREAD PTE. LTD.,Butter
CAMUS INNOVATIONS INVESTMENT PTE. LTD.,CII
CLARENDON PACIFIC VENTURES PTE. LTD.,CPV
COFE3 ASIA PTE. LTD.,COFE3
COMUSE PTE. LTD.,COMUSE
CORE HEART INVESTMENT PTE. LTD.,CHI
CORE LIGHT INVESTMENT PTE. LTD.,CLI
CVO PTE. LTD.,CVO
DAIRY DYNASTY INVESTMENT PTE. LTD.,DDI
DOREMI PROJECT PTE. LTD.,Doremi
ECECIL PTE. LTD.,Ececil
ELECNET PTE. LTD.,Elecnet
FEI FAH MEDICAL MANUFACTURING PTE. LTD.,FFMM
FEI FAH NOVELTY FOOD (S) PTE. LTD.,FFNF
FIRSTCALL QA PTE. LTD.,FIRSTCALLQA
FORTUNE PRIME INVESTMENT PTE. LTD.,FPI
FUNDS IGC PTE. LTD.,FIGC
G8 ENERGY PTE. LTD.,G8ENERGY
G8 SUBSEA PTE. LTD.,G8SUBSEA
GLOBAL LAB SPORTS VENTURES PTE. LTD.,GLSV
GOLDKRONE PTE. LTD.,GOLDKRONE
GUTEN INVESTMENT PTE. LTD.,GUTENINV
GUTEN KILLINEY PTE. LTD.,GUTENKILINEY
GUTEN REALTY PTE. LTD.,GUTENREALTY
HALODATA GROUP PTE. LTD.,HALODATA
HEAL MANAGEMENT GROUP PTE. LTD.,HEALMGMT
HENG DA INVESTMENT HOLDINGS PTE. LTD.,HENGDA
HUMANITY WORKS PTE. LTD.,HUMANITY
ICVCM SINGAPORE LIMITED,ICVCM
IMM GROUP PTE. LTD.,IMM
IMT SOFTWARE SOLUTIONS PTE. LTD.,ISS
INNOSTARS GLOBAL PTE. LTD.,INNOSTARS
INTELLIGENT SPARK INVESTMENT PTE. LTD.,ISI
KASA NETWORK PTE. LTD.,KASANET
KASA SINGAPORE PTE. LTD.,KASASG
KINDRED ADVISORS PTE. LTD.,KINDRED
LE HEALTH PTE. LTD.,LEHEATLH
LE SPACE PTE. LTD.,LESPACE
LEANEDGE CONSULTING PTE. LTD.,LEANEDGE
LOGOS FAMILY OFFICE PTE. LTD.,LFO
M8M HOLDINGS PTE. LTD.,M8MHLD
M8M PTE. LTD.,M8M
MAMANDA FOOD SOLUTIONS PTE. LTD.,MAMANDA
METDIST INTERNATIONAL PTE. LTD.,METDIST
METROD HOLDINGS (SINGAPORE) PTE. LTD.,METROD
METTUBE INTERNATIONAL PTE. LTD.,METTUBE
NOVA GENESIS INVESTMENT PTE. LTD.,NGI
PEI-GENESIS SINGAPORE PTE. LTD.,PGS
POD PACIFIC VENTURES PTE. LTD.,PPV
PRISMATIC FRAME INVESTMENT PTE. LTD.,PFI
QISCUS PTE. LTD.,QISCUS
REGA TECHNOLOGIES PTE. LTD.,REGA
SCENE 2 KITCHEN PTE. LTD.,SCENE
SEAWAY CONTAINER LINE PTE. LTD.,SEAWAY
SHADEE.CARE LTD.,SHADEE
SMART MORTGAGE SG PTE. LTD.,SMS
SMMZ PTE. LTD.,SMMZ
SNOWFLAKE COUNTRY INVESTMENT PTE. LTD.,SCI
THE PANDO SG PTE. LTD.,TPS
THEMATIC BRIDGE INVESTMENT PTE. LTD.,TBI
TISSUE THERAPEUTICS PTE. LTD.,TISSUE
TOMORO COFFEE GLOBAL PTE. LTD.,TCG
TRAVELWAVE PTE. LTD.,TRAVLW
TUAS COPPER PTE. LTD.,TUASC
VICTORIA TRAVEL & COACH TOUR PTE. LTD.,VTCT
VICTORY PARADE INVESTMENT PTE. LTD.,VPI
VRCOLLAB PTE. LTD.,VRCOLB
WESTGROVE PTE. LTD.,WESTGROVE
YSY INVESTMENT PTE. LTD.,YSYI
ZE CANG INVESTMENT HOLDINGS PTE. LTD.,ZECANG
ZE HAI INVESTMENT PTE. LTD.,ZEHAI
ZE HONG INVESTMENT PTE. LTD.,ZEHONG
ZE LE INVESTMENT PTE. LTD.,ZELE
ZE QI INVESTMENT HOLDINGS PTE. LTD.,ZEQI
ZE XIN INVESTMENT PTE. LTD.,ZXI
ZOO CAPITAL FUND I PTE. LTD.,ZCFI
ZOO CAPITAL FUND II PTE. LTD.,ZCFII
ZOO CAPITAL I (SINGAPORE) PTE. LTD.,ZCI
ZOO CAPITAL II (SINGAPORE) PTE. LTD.,ZCII
CORE SPLENDID INVESTMENT PTE. LTD.,CSI
